Gene,ImportanceScore,DiseaseAssociation
NLRP2,0.8409187335234422,AD
TCEAL3,0.8447878314898565,AD
CTNNB1,0.8415996982501104,AD
HNRNPL,0.8423577638772818,AD
ZNF557,0.8432627687087426,AD
AMFR,0.8441394108992356,AD
B3GALT6,0.8462634590955881,AD
AGPAT3,0.8453905949225793,AD
OCEL1,0.8463685374993545,AD
USP7,0.84399086695451,AD
PSPH,0.8432653775581946,AD
TMEM205,0.8455121242083036,AD
RAB11FIP3,0.8427132780735309,AD
SPDYE2,0.8433820238480201,AD
DACT3,0.8431935952259944,AD
ADAT1,0.8450767260331374,AD
VAMP2,0.8473411890176626,AD
CHURC1,0.8435852390069228,AD
PIN1P1,0.8454982134012076,AD
SOS1,0.8416113807604864,AD
