Gene,ImportanceScore,DiseaseAssociation
HOXA5,0.8424572165195758,HD
HOXD9,0.8446076741585364,HD
POU4F2,0.8420609052364643,HD
HAND1,0.8427677337939923,HD
HOXD10,0.84252562889686,HD
HOXA10,0.8424347730783316,HD
PRKD3,0.8414790034294128,HD
SIX6,0.8419160155149606,HD
OTP,0.8425137446476862,HD
HOXC10,0.8424924612045288,HD
HOXD13,0.8443623872903677,HD
HOXA11,0.8423386399562542,HD
SHOX2,0.8438917490152212,HD
PITX1,0.842941362124223,HD
HOXA13,0.8413328528404236,HD
HOXC6,0.8430623091184176,HD
HOXA7,0.8426885100511404,HD
RPS27L,0.8414675914324247,HD
ANO2,0.8412711895429171,HD
PITX2,0.8436744442352881,HD
