Gene,ImportanceScore,DiseaseAssociation
STAG3L3,0.8409310441750747,MS
LRRC55,0.840739905834198,MS
DACT3,0.8431935952259944,MS
CHI3L1,0.8399578332901001,MS
PPIL3,0.8457105480707608,MS
RPL8,0.8435792739574726,MS
VAMP2,0.8473411890176626,MS
LOXL2,0.8394999228990995,MS
ZNF415,0.844408915593074,MS
BTNL3,0.8448217923824604,MS
FBXO36,0.8433109842813932,MS
RAB11FIP3,0.8427132780735309,MS
PHF8,0.842291419322674,MS
BOD1L1,0.8440634195621197,MS
RALBP1,0.843398758998284,MS
TSPAN1,0.8413319816956153,MS
CHRNA5,0.8398570189109216,MS
NUMB,0.8420431797321026,MS
ZNF92,0.8444276727162875,MS
ANO2,0.8412711895429171,MS
