Gene,ImportanceScore,DiseaseAssociation
LIME1,0.841602100775792,PD
BIRC7,0.8424926308485178,PD
MIA,0.842091862971966,PD
MAPK11,0.8442515593308669,PD
B4GALNT3,0.8448964219826919,PD
PRKAG3,0.8441437436984136,PD
SACM1L,0.8435439559129568,PD
ADAD2,0.8424782477892362,PD
PGBD5,0.8435755601296058,PD
POU3F1,0.8405128763272212,PD
MNX1,0.8432691555756789,PD
SLITRK2,0.8454084900709299,PD
IFNAR2,0.8418562870759231,PD
CTNNB1,0.8415996982501104,PD
RARA,0.8423935495890104,PD
USP40,0.8423484334578881,PD
ZDHHC11,0.8420878740457388,PD
AGPAT3,0.8453905949225793,PD
SOS1,0.8416113807604864,PD
CHURC1,0.8435852390069228,PD
