Gene,ImportanceScore,DiseaseAssociation,BiologicalRelevance
VAMP2,0.8473411890176626,"Shared (AD, PD, HD, MS)",Protein involved in synaptic vesicle fusion and neurotransmitter release
OCEL1,0.8463685374993545,"Shared (AD, PD, HD, MS)",Function not explicitly categorized (likely regulatory role)
B3GALT6,0.8462634590955881,"Shared (AD, PD, HD, MS)",Function not explicitly categorized (likely regulatory role)
PPIL3,0.8457105480707608,"Shared (AD, PD, HD, MS)",Peptidyl-prolyl isomerase involved in protein folding and cellular regulation
TMEM205,0.8455121242083036,"Shared (AD, PD, HD, MS)",Function not explicitly categorized (likely regulatory role)
PIN1P1,0.8454982134012076,"Shared (AD, PD, HD, MS)",Function not explicitly categorized (likely regulatory role)
SLITRK2,0.8454084900709299,"Shared (AD, PD, HD, MS)",Axon guidance molecule involved in neuronal connectivity and development
AGPAT3,0.8453905949225793,"Shared (AD, PD, HD, MS)",Enzyme involved in phospholipid biosynthesis and lipid metabolism
CD47,0.8450847818301275,"Shared (AD, PD, HD, MS)",Cell surface receptor involved in immune signaling and cell communication
ADAT1,0.8450767260331374,"Shared (AD, PD, HD, MS)",RNA editing enzyme involved in post-transcriptional modification
B4GALNT3,0.8448964219826919,"Shared (AD, PD, HD, MS)",Function not explicitly categorized (likely regulatory role)
BTNL3,0.8448217923824604,"Shared (AD, PD, HD, MS)",Function not explicitly categorized (likely regulatory role)
TCEAL3,0.8447878314898565,"Shared (AD, PD, HD, MS)",Function not explicitly categorized (likely regulatory role)
HOXD9,0.8446076741585364,"Shared (AD, PD, HD, MS)",Developmental regulator involved in body patterning and neuronal differentiation
PDX1,0.8444392451873193,"Shared (AD, PD, HD, MS)",Function not explicitly categorized (likely regulatory role)
ZNF92,0.8444276727162875,"Shared (AD, PD, HD, MS)",DNA-binding zinc finger protein involved in transcriptional regulation
ZNF415,0.844408915593074,"Shared (AD, PD, HD, MS)",DNA-binding zinc finger protein involved in transcriptional regulation
HOXD13,0.8443623872903677,"Shared (AD, PD, HD, MS)",Developmental regulator involved in body patterning and neuronal differentiation
MAPK11,0.8442515593308669,"Shared (AD, PD, HD, MS)",Kinase involved in MAPK signaling pathway regulating cell stress and survival
ZNF880,0.8441727803303645,"Shared (AD, PD, HD, MS)",DNA-binding zinc finger protein involved in transcriptional regulation
NLRP2,0.8409187335234422,AD,Function not explicitly categorized (likely regulatory role)
