Gene,ImportanceScore,DiseaseAssociation
VAMP2,0.8473411890176626,"Shared (AD, PD, HD, MS)"
OCEL1,0.8463685374993545,"Shared (AD, PD, HD, MS)"
B3GALT6,0.8462634590955881,"Shared (AD, PD, HD, MS)"
PPIL3,0.8457105480707608,"Shared (AD, PD, HD, MS)"
TMEM205,0.8455121242083036,"Shared (AD, PD, HD, MS)"
PIN1P1,0.8454982134012076,"Shared (AD, PD, HD, MS)"
SLITRK2,0.8454084900709299,"Shared (AD, PD, HD, MS)"
AGPAT3,0.8453905949225793,"Shared (AD, PD, HD, MS)"
CD47,0.8450847818301275,"Shared (AD, PD, HD, MS)"
ADAT1,0.8450767260331374,"Shared (AD, PD, HD, MS)"
B4GALNT3,0.8448964219826919,"Shared (AD, PD, HD, MS)"
BTNL3,0.8448217923824604,"Shared (AD, PD, HD, MS)"
TCEAL3,0.8447878314898565,"Shared (AD, PD, HD, MS)"
HOXD9,0.8446076741585364,"Shared (AD, PD, HD, MS)"
PDX1,0.8444392451873193,"Shared (AD, PD, HD, MS)"
ZNF92,0.8444276727162875,"Shared (AD, PD, HD, MS)"
ZNF415,0.844408915593074,"Shared (AD, PD, HD, MS)"
HOXD13,0.8443623872903677,"Shared (AD, PD, HD, MS)"
MAPK11,0.8442515593308669,"Shared (AD, PD, HD, MS)"
ZNF880,0.8441727803303645,"Shared (AD, PD, HD, MS)"
