,ImportanceScore
CDHR5,0.839380300962008
ALG5,0.8391736012238723
ZNF415,0.8391050054476812
HLA-DQB1,0.839088614170368
ADAD2,0.8390132142947271
PRKD3,0.8389031015909635
STAG3L3,0.8388107694112338
HOXA5,0.8388063724224384
SOS1,0.8387740116852981
EIF3C,0.8387077450752258
IL18R1,0.8387028483244089
CHRNA5,0.8386817207703223
TRH,0.8386271733504075
USP40,0.8386240555689886
PGBD5,0.8386203279862037
NKX2-5,0.8384501383854792
SHOX2,0.8383888923204862
TSPAN1,0.8383452342106745
CTNNB1,0.8382585140374991
ANO2,0.8382548002096323
HOXC6,0.8382293581962585
POU3F1,0.8381657554553106
RARA,0.8380658626556396
OTP,0.8380459042695853
SIX6,0.8379179193423345
USP7,0.8379158927844121
PPIL3,0.8378669115213248
LRRC55,0.8378571592844449
LIME1,0.8378491906019357
FBXO36,0.8377943955934964
ZNF92,0.8376506062654349
SPINK13,0.8376314915143527
POU4F2,0.8375941010621878
RALBP1,0.8375471784518316
SPDYE2,0.8375370319073017
SGCD,0.8375137494160578
SMU1,0.8375037771004897
IFNAR2,0.8375011269862835
NLRP2,0.8374812923944913
PHF8,0.8374316096305847
ZNF557,0.8374295555628263
HOXA10,0.8373740773934585
SLITRK2,0.8373230328926673
LGALS4,0.8373178014388452
GSTO2,0.8372781414252061
THAP5,0.8371341503583468
CHI3L1,0.8370948388026311
ADAT1,0.8370913633933434
VAMP2,0.8370404564417325
HAND1,0.8370045194259057
RPS27L,0.8370027175316443
HOXA11,0.8369771058742816
ANKRD65,0.836965813086583
BTNL3,0.8369143467683059
SACM1L,0.8368883545582111
ZNF880,0.8368542790412903
TLX1,0.8368399326617901
HOXA13,0.8367643081224881
PRKAG3,0.8367077524845417
MIA,0.8366987521831806
PDX1,0.8366266672427838
NUMB,0.8365092002428495
RAB11FIP3,0.8364898379032428
PITX2,0.8364863808338459
TCEAL3,0.8364637998434213
MNX1,0.8364429152928866
BIRC7,0.8364236721625695
B3GALT6,0.8364108158991888
CD47,0.8362732025293204
ZDHHC11,0.8361898568960336
LOXL2,0.8361675234941336
MAPK11,0.8361436908061688
BOD1L1,0.8360929764234103
AMFR,0.8360783687004676
OCEL1,0.8360159167876611
CHURC1,0.8359884252915015
HOXD10,0.8359067027385418
HNRNPL,0.8358689592434809
B4GALNT3,0.8358527101003207
DACT3,0.8357896988208477
AGPAT3,0.8357626520670377
RPL8,0.8356712277118976
PSPH,0.8356619339722854
PIN1P1,0.8354329833617578
HOXA7,0.8353997423098638
TMEM205,0.8353004593115586
HOXC10,0.8351421218651992
HOXD13,0.8349031072396499
HOXD9,0.8330726898633517
PITX1,0.8318162101965684
